mid,lr,epoch,wd,ld,ld_type,criterion,avg_acc
0,0.0001,250,0,0.001,exponential,CROSSENTROPY,96.79999542
0,0.0001,250,0,0.001,time-based,MSE,92.90000153
0,0.0001,250,0,0.001,time-based,CROSSENTROPY,96.79999542
0,0.0001,250,0,0.01,exponential,MSE,74.79999542
0,0.0001,250,0,0.01,exponential,CROSSENTROPY,58.39999771
0,0.0001,250,0,0.01,time-based,MSE,94.6000061
0,0.0001,250,0,0.01,time-based,CROSSENTROPY,83.40000153
0,0.0001,250,0.0001,0,exponential,MSE,95.5
0,0.0001,250,0.0001,0,exponential,CROSSENTROPY,97.69999695
0,0.0001,250,0.0001,0,time-based,MSE,95.5
0,0.0001,250,0.0001,0,time-based,CROSSENTROPY,97.69999695
0,0.0001,250,0.0001,0.0001,exponential,MSE,95
0,0.0001,250,0.0001,0.0001,exponential,CROSSENTROPY,97.69999695
0,0.0001,250,0.0001,0.0001,time-based,MSE,94.80000305
0,0.0001,250,0.0001,0.0001,time-based,CROSSENTROPY,97.69999695
0,0.0001,250,0.0001,0.001,exponential,MSE,96.40000153
0,0.0001,250,0.0001,0.001,exponential,CROSSENTROPY,96.79999542
0,0.0001,250,0.0001,0.001,time-based,MSE,92.90000153
0,0.0001,250,0.0001,0.001,time-based,CROSSENTROPY,96.79999542
0,0.0001,250,0.0001,0.01,exponential,MSE,74.79999542
0,0.0001,250,0.0001,0.01,exponential,CROSSENTROPY,58.39999771
0,0.0001,250,0.0001,0.01,time-based,MSE,94.6000061
0,0.0001,250,0.0001,0.01,time-based,CROSSENTROPY,83.40000153
0,0.0001,250,0.001,0,exponential,MSE,95.3999939
0,0.0001,250,0.001,0,exponential,CROSSENTROPY,97.69999695
0,0.0001,250,0.001,0,time-based,MSE,95.3999939
0,0.0001,250,0.001,0,time-based,CROSSENTROPY,97.69999695
0,0.0001,250,0.001,0.0001,exponential,MSE,95.1000061
0,0.0001,250,0.001,0.0001,exponential,CROSSENTROPY,97.69999695
0,0.0001,250,0.001,0.0001,time-based,MSE,94.69999695
0,0.0001,250,0.001,0.0001,time-based,CROSSENTROPY,97.69999695
0,0.0001,250,0.001,0.001,exponential,MSE,96.5
0,0.0001,250,0.001,0.001,exponential,CROSSENTROPY,96.79999542
0,0.0001,250,0.001,0.001,time-based,MSE,92.90000153
0,0.0001,250,0.001,0.001,time-based,CROSSENTROPY,96.79999542
0,0.0001,250,0.001,0.01,exponential,MSE,74.79999542
0,0.0001,250,0.001,0.01,exponential,CROSSENTROPY,58.39999771
0,0.0001,250,0.001,0.01,time-based,MSE,94.6000061
0,0.0001,250,0.001,0.01,time-based,CROSSENTROPY,83.40000153
0,0.0001,250,0.01,0,exponential,MSE,95.3999939
0,0.0001,250,0.01,0,exponential,CROSSENTROPY,97.69999695
0,0.0001,250,0.01,0,time-based,MSE,95.3999939
0,0.0001,250,0.01,0,time-based,CROSSENTROPY,97.69999695
0,0.0001,250,0.01,0.0001,exponential,MSE,94.80000305
0,0.0001,250,0.01,0.0001,exponential,CROSSENTROPY,97.69999695
0,0.0001,250,0.01,0.0001,time-based,MSE,95.1000061
0,0.0001,250,0.01,0.0001,time-based,CROSSENTROPY,97.69999695
0,0.0001,250,0.01,0.001,exponential,MSE,97.09999847
0,0.0001,250,0.01,0.001,exponential,CROSSENTROPY,96.79999542
0,0.0001,250,0.01,0.001,time-based,MSE,93.70000458
0,0.0001,250,0.01,0.001,time-based,CROSSENTROPY,96.79999542
0,0.0001,250,0.01,0.01,exponential,MSE,74.79999542
0,0.0001,250,0.01,0.01,exponential,CROSSENTROPY,58.39999771
0,0.0001,250,0.01,0.01,time-based,MSE,94.6000061
0,0.0001,250,0.01,0.01,time-based,CROSSENTROPY,83.40000153
